,Teladi,NMMC,Goner,TerraCorp,Strong Arms,Argon,Boron,Split,Arteus,OTAS,Duke's,Paranid,Pirates,Terran,Yaki,
Teladi,1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.85
NMMC,0.15,1,0,0,0,0,0,0,0,0,-0.3,0,0,0,0,0.85
Goner,0,0,1,0.15,0,0.05,0.05,0,0,0,0,0,0,0,0,1.25
TerraCorp,0,0,0.15,1,-0.15,0.15,0.05,-0.15,0.05,-0.3,0,-0.3,-0.3,0,-0.3,-0.1
Strong Arms,0,0,-0.3,-0.15,1,-0.15,-0.3,0.15,-0.3,-0.15,0,0.05,0,-0.3,0,-0.45
Argon,0,0,0.05,0.15,-0.15,1,0.15,-0.15,0.05,0.15,-0.3,-0.3,-0.3,-0.3,-0.3,-0.25
Boron,0,0,0.05,0.05,-0.3,0.15,1,-0.3,0.15,0.05,-0.3,-0.15,-0.3,-0.3,-0.3,-0.5
Split,0,0,0,-0.15,0.15,-0.15,-0.3,1,-0.3,-0.15,-0.3,0.15,0,-0.3,-0.3,-0.65
Arteus,0,0,0,0.05,-0.3,0.05,0.15,-0.3,1,-0.3,0,-0.15,-0.3,-0.3,-0.3,-0.7
OTAS,0,0,0,-0.3,-0.15,0.15,0.05,-0.15,-0.3,1,0,-0.3,-0.3,-0.3,-0.3,-0.9
Duke's,0,-0.3,-0.3,0,0,-0.3,-0.3,-0.3,0,0,1,-0.3,0.15,-0.3,-0.3,-1.25
Paranid,0,0,0,-0.3,0.05,-0.3,-0.15,0.15,-0.15,-0.3,-0.3,1,-0.3,-0.3,-0.3,-1.2
Pirates,0,0,-0.3,-0.3,0,-0.3,-0.3,0,-0.3,-0.3,0.15,-0.3,1,-0.3,-0.3,-1.55
Terran,0,0,0,0,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1,-0.3,-2
Yaki,-0.3,0,-0.15,-0.3,0,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1,-2.45
,0.85,0.85,0.2,-0.1,-0.15,-0.25,-0.5,-0.65,-0.7,-0.9,-0.95,-1.2,-1.25,-2,-2.3,-9.05
